title,location,published_at,url,salary,description
Dasturchi,Ташкент,2025-08-26T07:46:36+03:00,https://hh.ru/vacancy/124470522,0,"Опыт работы с языками программирования (например: <highlighttext>Python</highlighttext>, JavaScript, Java). Знание фреймворков (Django, React или аналогов). Умение работать с базами данных..."
Тестировщик (QA Engineer),Москва,2025-09-02T11:58:20+03:00,https://hh.ru/vacancy/124762010,80000,"Опыт тестирования веб-продуктов от 2–3 лет. Уверенный <highlighttext>Python</highlighttext> для автотестов. Практика с pytest, Selenium или Playwright."
Middle/Senior Backend Developer (Python),Астана,2025-09-01T11:14:33+03:00,https://hh.ru/vacancy/124702015,800000,"3-5+ лет опыта работы с <highlighttext>Python</highlighttext> в бэкенд-разработке. Глубокие знания PostgreSQL: работа с индексами, оптимизация запросов, репликация."
Phython Backend-разработчик (middle/senior),Алматы,2025-09-01T09:43:45+03:00,https://hh.ru/vacancy/123182784,0,"Опыт разработки на <highlighttext>Python</highlighttext> 3.8+ с использованием FastAPI, DRF, Celery. Глубокие знания SQL, уверенная работа с PostgreSQL."
QA инженер,Москва,2025-09-02T12:05:12+03:00,https://hh.ru/vacancy/124763406,0,"Понимание концепций криптографиии (хеширование, симметриченое/асимметричное шифрование, закрытый/открытый ключ). - Знание <highlighttext>Python</highlighttext> и основных библиотек для тестирования - pytest, allure, playwright..."
Golang-разработчик,Москва,2025-09-01T17:45:03+03:00,https://hh.ru/vacancy/124729151,0,Внимание к деталям и стремление делать работу качественно. Ориентация на результат. Знание других языков (<highlighttext>Python</highlighttext>). Опыт работы с высокими нагрузками.
Python-разработчик,Алматы,2025-09-02T09:51:35+03:00,https://hh.ru/vacancy/124747909,0,"3+ лет опыта в <highlighttext>Python</highlighttext>, DevOps. Уверенное владение Kubernetes, Docker, Helm. Опыт построения CI/CD пайплайнов. Опыт работы с..."
Chief Technology Officer (CTO) / Технический директор,Москва,2025-09-01T17:16:39+03:00,https://hh.ru/vacancy/124727952,0,"Понимание ML/MLOps-процессов, опыт взаимодействия с DS-командами. Владение <highlighttext>Python</highlighttext> (FastAPI/Django) и современными фреймворками для backend."
Front-end разработчик (REACT),Алматы,2025-08-27T16:00:24+03:00,https://hh.ru/vacancy/124555626,0,"Опыт разработки на «JavaScript», «DHTMLX»/«Angular»/«React», «Java», «<highlighttext>Python</highlighttext>». Желателен опыт проектирования и разработки микросервисных и транзакционных решений."
Middle QA Engineer / Тестировщик,Нижний Новгород,2025-09-01T16:38:01+03:00,https://hh.ru/vacancy/124725866,0,"Опыт работы с контейнерами (docker, k8s). Опыт автоматизации (git, <highlighttext>python</highlighttext>). Опыт работы с CI/CD (Gitlab)."
Python-разработчик (Middle/Senior/Lead),Москва,2025-09-01T15:09:48+03:00,https://hh.ru/vacancy/124718805,240000,"Более 3 лет опыта разработки на <highlighttext>Python</highlighttext>. Владение асинхронным программированием с asyncio, а также алгоритмами и ООП. Опыт работы с..."
Junior backend-разработчик,Москва,2025-09-01T15:17:20+03:00,https://hh.ru/vacancy/124719499,80000,Уверенное владение <highlighttext>Python</highlighttext>. Опыт работы с FastAPI (от 6 месяцев). Знание Pydantic и понимание принципов построения backend-сервера.
Тестировщик веб-приложений,Москва,2025-08-15T15:04:06+03:00,https://hh.ru/vacancy/120800634,0,"Опыт E2E-тестирования от 2+ лет. Знание <highlighttext>Python</highlighttext> + Pytest, TypeScript + Playwright. Опыт тестирования API (REST..."
Python-разработчик,Москва,2025-09-02T11:32:11+03:00,https://hh.ru/vacancy/124759455,300000,Опыт разработки на <highlighttext>Python</highlighttext> (3.12+) уровня Senior в коммерческих продуктах от 5 лет. Знание современных механик (в особенности...
Middle QA engineer,Санкт-Петербург,2025-09-01T16:56:16+03:00,https://hh.ru/vacancy/124726853,0,Опыт тестирования коммерческих проектов от 2 лет. Опыт разработки тест кейсов. Опыт тестирования API и WEB-приложений (PWA).
Python стажёр,Санкт-Петербург,2025-09-02T13:25:39+03:00,https://hh.ru/vacancy/124770259,0,"Хорошее знание синтаксиса <highlighttext>Python</highlighttext> (типы данных, функции, модули, исключения). Flask / Django. Базовое понимание работы виртуального окружения (venv, pip). Знание Git."
Помощник преподавателя,Астана,2025-08-13T14:02:20+03:00,https://hh.ru/vacancy/124013203,100000,"Базовые знания компьютера, офисных программ и основ программирования. Любовь к работе с детьми и умение находить с ними общий язык."
Python-разработчик,Москва,2025-09-02T08:57:22+03:00,https://hh.ru/vacancy/124743896,0,Коммерческий опыт разработки на <highlighttext>Python</highlighttext> (от 1 года) с использованием FastAPI или аналогичных современных фреймворков. Умение быстро и эффективно прототипировать...
Младший аналитик данных / Junior Data Analyst,Москва,2025-09-01T15:23:41+03:00,https://hh.ru/vacancy/124642904,0,Владение SQL и опыт работы с базами данных (допустим учебный опыт). Владение <highlighttext>Python</highlighttext> на уверенном уровне. Умение проводить статистический анализ...
Middle frontend developer,Ташкент,2025-08-26T12:07:41+03:00,https://hh.ru/vacancy/124489232,0,"ReactJS - от 1-го года. Опыт командной разработки от 1-го года. Способность планирования рабочего времени. Ответственность, внимание к деталям."
